ensg,symbol
ENSG00000160862,AZGP1
ENSG00000163359,COL6A3
ENSG00000135480,KRT7
ENSG00000141753,IGFBP4
ENSG00000101439,CST3
ENSG00000210082,MT-RNR2
ENSG00000189334,S100A14
ENSG00000211772,TRBC2
ENSG00000106538,RARRES2
ENSG00000111341,MGP
ENSG00000157514,TSC22D3
ENSG00000198502,HLA-DRB5
ENSG00000160307,S100B
ENSG00000087245,MMP2
ENSG00000182866,LCK
ENSG00000185885,IFITM1
ENSG00000090104,RGS1
ENSG00000133639,BTG1
ENSG00000124172,ATP5F1E
ENSG00000277734,TRAC
ENSG00000143387,CTSK
ENSG00000152518,ZFP36L2
ENSG00000185664,PMEL
ENSG00000211751,TRBC1
ENSG00000171346,KRT15
ENSG00000128016,ZFP36
ENSG00000124107,SLPI
ENSG00000179144,GIMAP7
ENSG00000110492,MDK
ENSG00000101335,MYL9
ENSG00000158050,DUSP2
ENSG00000133110,POSTN
ENSG00000160180,TFF3
ENSG00000135919,SERPINE2
ENSG00000102265,TIMP1
ENSG00000227507,LTB
ENSG00000129538,RNASE1
ENSG00000166482,MFAP4
ENSG00000186847,KRT14
ENSG00000171223,JUNB
ENSG00000142089,IFITM3
ENSG00000107796,ACTA2
ENSG00000139193,CD27
ENSG00000149591,TAGLN
ENSG00000095794,CREM
ENSG00000240583,AQP1
ENSG00000080166,DCT
ENSG00000166426,CRABP1
ENSG00000128422,KRT17
ENSG00000265972,TXNIP
ENSG00000101443,WFDC2
ENSG00000189129,PLAC9
ENSG00000172551,MUCL1
ENSG00000184292,TACSTD2
ENSG00000149131,SERPING1
ENSG00000175793,SFN
ENSG00000172543,CTSW
ENSG00000106211,HSPB1
ENSG00000261371,PECAM1
ENSG00000120129,DUSP1
ENSG00000106541,AGR2
ENSG00000178372,CALML5
ENSG00000211598,IGKV4-1
ENSG00000160182,TFF1
ENSG00000111799,COL12A1
ENSG00000100721,TCL1A
ENSG00000164434,FABP7
ENSG00000170345,FOS
ENSG00000110484,SCGB2A2
ENSG00000163519,TRAT1
ENSG00000170476,MZB1
ENSG00000135404,CD63
ENSG00000180644,PRF1
ENSG00000169508,GPR183
ENSG00000066336,SPI1
ENSG00000211662,IGLV3-21
ENSG00000188404,SELL
ENSG00000245532,NEAT1
ENSG00000115523,GNLY
ENSG00000085265,FCN1
ENSG00000047457,CP
ENSG00000158874,APOA2
ENSG00000101825,MXRA5
ENSG00000186810,CXCR3
ENSG00000110245,APOC3
ENSG00000187955,COL14A1
ENSG00000196754,S100A2
ENSG00000204389,HSPA1A
ENSG00000163993,S100P
ENSG00000012223,LTF
ENSG00000143110,C1orf162
ENSG00000143320,CRABP2
ENSG00000186340,THBS2
ENSG00000100450,GZMH
ENSG00000111796,KLRB1
ENSG00000172116,CD8B
ENSG00000158517,NCF1
ENSG00000159763,PIP
ENSG00000233041,PHGR1
ENSG00000204482,LST1
ENSG00000174059,CD34
ENSG00000149564,ESAM
ENSG00000166920,C15orf48
ENSG00000089692,LAG3
ENSG00000105974,CAV1
ENSG00000125730,C3
ENSG00000140968,IRF8
ENSG00000166147,FBN1
ENSG00000150687,PRSS23
ENSG00000153064,BANK1
ENSG00000134871,COL4A2
ENSG00000133048,CHI3L1
ENSG00000143184,XCL1
ENSG00000163734,CXCL3
ENSG00000163430,FSTL1
ENSG00000186891,TNFRSF18
ENSG00000204291,COL15A1
ENSG00000112149,CD83
ENSG00000138755,CXCL9
ENSG00000172724,CCL19
ENSG00000110777,POU2AF1
ENSG00000080824,HSP90AA1
ENSG00000115956,PLEK
ENSG00000081041,CXCL2
ENSG00000177469,CAVIN1
ENSG00000181617,FDCSP
ENSG00000253755,IGHGP
ENSG00000125810,CD93
ENSG00000173110,HSPA6
ENSG00000167779,IGFBP6
ENSG00000170458,CD14
ENSG00000165168,CYBB
ENSG00000126353,CCR7
ENSG00000089199,CHGB
ENSG00000122224,LY9
ENSG00000242574,HLA-DMB
ENSG00000237541,HLA-DQA2
ENSG00000177575,CD163
ENSG00000166741,NNMT
ENSG00000177455,CD19
ENSG00000182578,CSF1R
ENSG00000060718,COL11A1
ENSG00000091513,TF
ENSG00000148346,LCN2
ENSG00000064989,CALCRL
ENSG00000109610,SOD3
ENSG00000186832,KRT16
ENSG00000049540,ELN
ENSG00000154133,ROBO4
ENSG00000187513,GJA4
ENSG00000179776,CDH5
ENSG00000173467,AGR3
ENSG00000166927,MS4A7
ENSG00000234883,MIR155HG
ENSG00000137673,MMP7
ENSG00000163563,MNDA
ENSG00000176083,ZNF683
ENSG00000205426,KRT81
ENSG00000038945,MSR1
ENSG00000095970,TREM2
ENSG00000138207,RBP4
ENSG00000250722,SELENOP
ENSG00000139219,COL2A1
ENSG00000177606,JUN
ENSG00000188820,CALHM6
ENSG00000069122,ADGRF5
ENSG00000165810,BTNL9
ENSG00000106809,OGN
ENSG00000168333,PPDPFL
ENSG00000110079,MS4A4A
ENSG00000100292,HMOX1
ENSG00000155659,VSIG4
ENSG00000094755,GABRP
ENSG00000183747,ACSM2A
ENSG00000018280,SLC11A1
ENSG00000171557,FGG
ENSG00000150337,FCGR1A
ENSG00000048462,TNFRSF17
ENSG00000196616,ADH1B
ENSG00000124935,SCGB1D2
ENSG00000109072,VTN
ENSG00000128218,VPREB3
ENSG00000197614,MFAP5
ENSG00000164106,SCRG1
ENSG00000157766,ACAN
ENSG00000268751,SCGB1B2P
ENSG00000198650,TAT
ENSG00000168081,PNOC
ENSG00000173391,OLR1
ENSG00000185479,KRT6B
ENSG00000143297,FCRL5
ENSG00000198542,ITGBL1
ENSG00000169903,TM4SF4
ENSG00000126709,IFI6
ENSG00000143556,S100A7
ENSG00000066813,ACSM2B
ENSG00000164266,SPINK1
ENSG00000229314,ORM1
ENSG00000145287,PLAC8
ENSG00000182600,SNORC
ENSG00000125968,ID1
ENSG00000122641,INHBA
ENSG00000121742,GJB6
ENSG00000100097,LGALS1
ENSG00000163017,ACTG2
ENSG00000124491,F13A1
ENSG00000005102,MEOX1
ENSG00000173267,SNCG
ENSG00000162998,FRZB
ENSG00000105141,CASP14
ENSG00000118137,APOA1
ENSG00000211673,IGLV3-1
ENSG00000132703,APCS
ENSG00000134873,CLDN10
ENSG00000169900,PYDC1
ENSG00000145321,GC
ENSG00000160181,TFF2
ENSG00000133169,BEX1
ENSG00000171564,FGB
ENSG00000171560,FGA
ENSG00000165507,DEPP1
ENSG00000142871,CCN1
ENSG00000172889,EGFL7
ENSG00000100867,DHRS2
ENSG00000078401,EDN1
ENSG00000136689,IL1RN
ENSG00000102854,MSLN
ENSG00000243955,GSTA1
ENSG00000228278,ORM2
ENSG00000164120,HPGD
ENSG00000235142,LINC02532
ENSG00000211445,GPX3
ENSG00000135094,SDS
ENSG00000129988,LBP
ENSG00000211640,IGLV6-57
ENSG00000197956,S100A6
ENSG00000154269,ENPP3
ENSG00000213886,UBD
ENSG00000134339,SAA2
ENSG00000004799,PDK4
ENSG00000115009,CCL20
ENSG00000163739,CXCL1
ENSG00000176153,GPX2
ENSG00000058404,CAMK2B
ENSG00000164283,ESM1
ENSG00000142748,FCN3
ENSG00000137441,FGFBP2
ENSG00000111348,ARHGDIB
ENSG00000104894,CD37
ENSG00000089356,FXYD3
ENSG00000128340,RAC2
ENSG00000126264,HCST
ENSG00000147168,IL2RG
ENSG00000204592,HLA-E
ENSG00000189171,S100A13
ENSG00000167642,SPINT2
ENSG00000115165,CYTIP
ENSG00000136167,LCP1
ENSG00000136490,LIMD2
ENSG00000118503,TNFAIP3
ENSG00000051523,CYBA
ENSG00000106333,PCOLCE
ENSG00000082074,FYB1
ENSG00000089327,FXYD5
ENSG00000008394,MGST1
ENSG00000189143,CLDN4
ENSG00000156234,CXCL13
ENSG00000132965,ALOX5AP
ENSG00000125868,DSTN
ENSG00000142669,SH3BGRL3
ENSG00000026025,VIM
ENSG00000162576,MXRA8
ENSG00000103363,ELOB
ENSG00000125534,PPDPF
ENSG00000096696,DSP
ENSG00000240972,MIF
ENSG00000176046,NUPR1
ENSG00000267795,SMIM22
ENSG00000160255,ITGB2
ENSG00000163435,ELF3
ENSG00000185201,IFITM2
ENSG00000167283,ATP5MG
ENSG00000178980,SELENOW
ENSG00000140416,TPM1
ENSG00000154518,ATP5MC3
ENSG00000023445,BIRC3
ENSG00000135390,ATP5MC2
ENSG00000077942,FBLN1
ENSG00000228253,MT-ATP8
ENSG00000010278,CD9
ENSG00000049768,FOXP3
ENSG00000211734,TRBV5-1
ENSG00000124882,EREG
ENSG00000282939,TRBV7-2
ENSG00000244734,HBB
ENSG00000196405,EVL
ENSG00000278030,TRBV7-9
ENSG00000164919,COX6C
ENSG00000103187,COTL1
ENSG00000133872,SARAF
ENSG00000172236,TPSAB1
ENSG00000165215,CLDN3
ENSG00000096384,HSP90AB1
ENSG00000233276,GPX1
ENSG00000211949,IGHV3-23
ENSG00000134545,KLRC1
ENSG00000125148,MT2A
ENSG00000211721,TRBV6-5
ENSG00000130066,SAT1
ENSG00000163191,S100A11
ENSG00000143185,XCL2
ENSG00000237702,TRBV3-1
ENSG00000211829,TRDC
ENSG00000211716,TRBV9
ENSG00000211710,TRBV4-1
ENSG00000211745,TRBV4-2
ENSG00000256039,LINC02446
ENSG00000226660,TRBV2
ENSG00000124664,SPDEF
ENSG00000119655,NPC2
ENSG00000211727,TRBV7-6
ENSG00000247774,PCED1B-AS1
ENSG00000160213,CSTB
ENSG00000149925,ALDOA
ENSG00000204257,HLA-DMA
ENSG00000211659,IGLV3-25
ENSG00000211789,TRAV12-2
ENSG00000127920,GNG11
ENSG00000117450,PRDX1
ENSG00000211706,TRBV6-1
ENSG00000211644,IGLV1-51
ENSG00000211817,TRAV38-2DV8
ENSG00000211788,TRAV13-1
ENSG00000167468,GPX4
ENSG00000100906,NFKBIA
ENSG00000211728,TRBV5-6
ENSG00000205358,MT1H
ENSG00000162366,PDZK1IP1
ENSG00000108700,CCL8
ENSG00000163520,FBLN2
ENSG00000211666,IGLV2-14
ENSG00000211801,TRAV21
ENSG00000211810,TRAV29DV5
ENSG00000198832,SELENOM
ENSG00000211777,TRAV3
ENSG00000240505,TNFRSF13B
ENSG00000211793,TRAV9-2
ENSG00000182718,ANXA2
ENSG00000135046,ANXA1
ENSG00000164530,PI16
ENSG00000211792,TRAV14DV4
ENSG00000084207,GSTP1
ENSG00000234741,GAS5
ENSG00000211797,TRAV17
ENSG00000148513,ANKRD30A
ENSG00000211794,TRAV12-3
ENSG00000163221,S100A12
ENSG00000169245,CXCL10
ENSG00000211799,TRAV19
ENSG00000111669,TPI1
ENSG00000074800,ENO1
ENSG00000211653,IGLV1-40
ENSG00000124564,SLC17A3
ENSG00000067225,PKM
ENSG00000211660,IGLV2-23
ENSG00000164035,EMCN
ENSG00000211790,TRAV8-4
ENSG00000104921,FCER2
ENSG00000166428,PLD4
ENSG00000132693,CRP
ENSG00000131981,LGALS3
ENSG00000099958,DERL3
ENSG00000160856,FCRL3
ENSG00000115541,HSPE1
ENSG00000256553,TRAV1-2
ENSG00000128052,KDR
