gene_symbol	category_major	category_minor
WFDC2	Other	Other
PLAC9	Other	Other
MUCL1	Other	Other
TACSTD2	Other	Other
SERPING1	Other	Other
SFN	Other	Other
CTSW	Other	Other
HSPB1	CellCycle_DDR_Stress	Stress_Senescence
PECAM1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
DUSP1	CellCycle_DDR_Stress	Stress_Senescence
AGR2	Other	Other
CALML5	Other	Other
IGKV4-1	Other	Other
TFF1	Other	Other
COL12A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
TCL1A	Other	Other
FABP7	Other	Other
FOS	Cancer_pathways	RAS_MAPK
SCGB2A2	Other	Other
TRAT1	Other	Other
MZB1	Immune_lineage_state	Plasma_cell
CD63	Other	Other
PRF1	Immune_lineage_state	NK_cytotoxic
GPR183	Other	Other
SPI1	Other	Other
IGLV3-21	Other	Other
SELL	Immune_lineage_state	Immune_other
NEAT1	Other	Other
GNLY	Immune_lineage_state	NK_cytotoxic
FCN1	Other	Other
CP	Other	Other
APOA2	Other	Other
MXRA5	Other	Other
CXCR3	Immune_lineage_state	Th1
APOC3	Other	Other
COL14A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
S100A2	Other	Other
HSPA1A	CellCycle_DDR_Stress	Stress_Senescence
S100P	Other	Other
LTF	Other	Other
C1orf162	Other	Other
CRABP2	Other	Other
THBS2	Other	Other
GZMH	Other	Other
KLRB1	Immune_lineage_state	Immune_other
CD8B	Immune_lineage_state	Immune_other
NCF1	Other	Other
PIP	Other	Other
PHGR1	Other	Other
LST1	Immune_lineage_state	Mono_Macrophage
CD34	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Vasculature
ESAM	Other	Other
C15orf48	Other	Other
LAG3	Immune_lineage_state	Immune_other
CAV1	Other	Other
C3	Other	Other
IRF8	Other	Other
FBN1	Other	Other
PRSS23	Other	Other
BANK1	Other	Other
COL4A2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CHI3L1	Other	Other
XCL1	Other	Other
CXCL3	Cytokines_Chemokines_Checkpoints	Chemokine
FSTL1	Other	Other
TNFRSF18	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
COL15A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CD83	Other	Other
CXCL9	Cytokines_Chemokines_Checkpoints	Chemokine
CCL19	Cytokines_Chemokines_Checkpoints	Chemokine
POU2AF1	Other	Other
HSP90AA1	CellCycle_DDR_Stress	Stress_Senescence
PLEK	Other	Other
CXCL2	Cytokines_Chemokines_Checkpoints	Chemokine
CAVIN1	Other	Other
FDCSP	Other	Other
IGHGP	Other	Other
CD93	Other	Other
HSPA6	CellCycle_DDR_Stress	Stress_Senescence
IGFBP6	Other	Other
CD14	Other	Other
CYBB	Other	Other
CCR7	Immune_lineage_state	Immune_other
CHGB	Other	Other
LY9	Other	Other
HLA-DMB	Other	Other
HLA-DQA2	Other	Other
CD163	Other	Other
NNMT	Other	Other
CD19	Other	Other
CSF1R	Immune_lineage_state	Mono_Macrophage
COL11A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
TF	Other	Other
LCN2	Other	Other
CALCRL	Other	Other
SOD3	Other	Other
KRT16	Malignant_lineage	Epithelial_malignant
ELN	Other	Other
ROBO4	Other	Other
GJA4	Other	Other
CDH5	Other	Other
AGR3	Other	Other
MS4A7	Other	Other
MIR155HG	Other	Other
MMP7	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
MNDA	Other	Other
ZNF683	Other	Other
KRT81	Malignant_lineage	Epithelial_malignant
MSR1	Other	Other
TREM2	Other	Other
RBP4	Other	Other
SELENOP	Other	Other
COL2A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
JUN	Cancer_pathways	RAS_MAPK
CALHM6	Other	Other
ADGRF5	Other	Other
BTNL9	Other	Other
OGN	Other	Other
PPDPFL	Other	Other
MS4A4A	Other	Other
HMOX1	CellCycle_DDR_Stress	Stress_Senescence
VSIG4	Other	Other
GABRP	Other	Other
ACSM2A	Other	Other
SLC11A1	Other	Other
FGG	Other	Other
FCGR1A	Other	Other
TNFRSF17	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
ADH1B	Other	Other
SCGB1D2	Other	Other
VTN	Other	Other
VPREB3	Other	Other
MFAP5	Other	Other
SCRG1	Other	Other
ACAN	Other	Other
SCGB1B2P	Other	Other
TAT	Other	Other
PNOC	Other	Other
OLR1	Other	Other
KRT6B	Malignant_lineage	Epithelial_malignant
FCRL5	Other	Other
ITGBL1	Other	Other
TM4SF4	Other	Other
IFI6	Other	Other
S100A7	Other	Other
ACSM2B	Other	Other
SPINK1	Other	Other
ORM1	Other	Other
PLAC8	Other	Other
SNORC	Other	Other
ID1	Other	Other
INHBA	Other	Other
GJB6	Other	Other
LGALS1	Other	Other
ACTG2	Other	Other
F13A1	Other	Other
MEOX1	Other	Other
SNCG	Other	Other
FRZB	Other	Other
CASP14	Other	Other
APOA1	Other	Other
IGLV3-1	Other	Other
APCS	Other	Other
CLDN10	Other	Other
PYDC1	Other	Other
GC	Other	Other
TFF2	Other	Other
BEX1	Other	Other
FGB	Other	Other
FGA	Other	Other
DEPP1	Other	Other
CCN1	Other	Other
EGFL7	Other	Other
DHRS2	Other	Other
EDN1	Other	Other
IL1RN	Cytokines_Chemokines_Checkpoints	Cytokine
MSLN	Other	Other
GSTA1	Other	Other
ORM2	Other	Other
HPGD	Other	Other
LINC02532	Other	Other
GPX3	Other	Other
SDS	Other	Other
LBP	Other	Other
IGLV6-57	Other	Other
S100A6	Other	Other
ENPP3	Other	Other
UBD	Other	Other
SAA2	Other	Other
PDK4	Other	Other
CCL20	Cytokines_Chemokines_Checkpoints	Chemokine
CXCL1	Cytokines_Chemokines_Checkpoints	Chemokine
GPX2	Other	Other
CAMK2B	Other	Other
ESM1	Other	Other
FCN3	Other	Other
FGFBP2	Other	Other
ARHGDIB	Other	Other
CD37	Other	Other
FXYD3	Other	Other
RAC2	Other	Other
HCST	Other	Other
IL2RG	Cytokines_Chemokines_Checkpoints	Cytokine
HLA-E	Other	Other
S100A13	Other	Other
SPINT2	Other	Other
CYTIP	Other	Other
LCP1	Other	Other
LIMD2	Other	Other
TNFAIP3	Cytokines_Chemokines_Checkpoints	Cytokine
CYBA	Other	Other
PCOLCE	Other	Other
FYB1	Other	Other
FXYD5	Other	Other
MGST1	Other	Other
CLDN4	Other	Other
CXCL13	Immune_lineage_state	Immune_other
ALOX5AP	Other	Other
DSTN	Other	Other
SH3BGRL3	Other	Other
VIM	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
MXRA8	Other	Other
ELOB	Other	Other
PPDPF	Other	Other
DSP	Other	Other
MIF	Other	Other
NUPR1	Other	Other
SMIM22	Other	Other
ITGB2	Other	Other
ELF3	Other	Other
IFITM2	Other	Other
ATP5MG	Other	Other
SELENOW	Other	Other
TPM1	Other	Other
ATP5MC3	Other	Other
BIRC3	Other	Other
ATP5MC2	Other	Other
FBLN1	Other	Other
CD9	Other	Other
FOXP3	Immune_lineage_state	Treg
TRBV5-1	Other	Other
EREG	Other	Other
TRBV7-2	Other	Other
HBB	Other	Other
EVL	Other	Other
TRBV7-9	Other	Other
COX6C	Other	Other
COTL1	Other	Other
SARAF	Other	Other
TPSAB1	Other	Other
CLDN3	Other	Other
HSP90AB1	CellCycle_DDR_Stress	Stress_Senescence
GPX1	Other	Other
IGHV3-23	Other	Other
KLRC1	Other	Other
MT2A	Other	Other
TRBV6-5	Other	Other
SAT1	Other	Other
S100A11	Other	Other
XCL2	Other	Other
TRBV3-1	Other	Other
TRDC	Other	Other
TRBV9	Other	Other
TRBV4-1	Other	Other
TRBV4-2	Other	Other
LINC02446	Other	Other
TRBV2	Other	Other
SPDEF	Other	Other
NPC2	Other	Other
TRBV7-6	Other	Other
PCED1B-AS1	Other	Other
CSTB	Other	Other
ALDOA	Other	Other
HLA-DMA	Other	Other
IGLV3-25	Other	Other
TRAV12-2	Other	Other
GNG11	Other	Other
PRDX1	Other	Other
TRBV6-1	Other	Other
IGLV1-51	Other	Other
TRAV38-2DV8	Other	Other
TRAV13-1	Other	Other
GPX4	Other	Other
NFKBIA	Other	Other
TRBV5-6	Other	Other
MT1H	Other	Other
PDZK1IP1	Other	Other
CCL8	Cytokines_Chemokines_Checkpoints	Chemokine
FBLN2	Other	Other
IGLV2-14	Other	Other
TRAV21	Other	Other
TRAV29DV5	Other	Other
SELENOM	Other	Other
TRAV3	Other	Other
TNFRSF13B	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TRAV9-2	Other	Other
ANXA2	Other	Other
ANXA1	Other	Other
PI16	Other	Other
TRAV14DV4	Other	Other
GSTP1	Other	Other
GAS5	Other	Other
TRAV17	Other	Other
ANKRD30A	Other	Other
TRAV12-3	Other	Other
S100A12	Other	Other
CXCL10	Cytokines_Chemokines_Checkpoints	Chemokine
TRAV19	Other	Other
TPI1	Other	Other
ENO1	Other	Other
IGLV1-40	Other	Other
SLC17A3	Other	Other
PKM	Other	Other
IGLV2-23	Other	Other
EMCN	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
TRAV8-4	Other	Other
FCER2	Other	Other
PLD4	Immune_lineage_state	Immune_other
CRP	Other	Other
LGALS3	Other	Other
DERL3	Other	Other
FCRL3	Other	Other
HSPE1	CellCycle_DDR_Stress	Stress_Senescence
TRAV1-2	Other	Other
IGLV2-8	Other	Other
PSAP	Other	Other
IGHV3-30	Other	Other
SLC5A12	Other	Other
DDIT4	Other	Other
CXCR5	Immune_lineage_state	Tfh
CXCR6	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
KLRD1	Immune_lineage_state	NK_cytotoxic
KDR	Cancer_pathways	RTK
CCL17	Cytokines_Chemokines_Checkpoints	Chemokine
KLRG1	Immune_lineage_state	Immune_other
UBE2C	CellCycle_DDR_Stress	Cell_cycle
CX3CR1	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
CDC20	CellCycle_DDR_Stress	Cell_cycle
CA9	Other	Other
CCL21	Cytokines_Chemokines_Checkpoints	Chemokine
CXCL6	Other	Other
IFNG	Immune_lineage_state	NK_cytotoxic
CXCL11	Cytokines_Chemokines_Checkpoints	Chemokine
HSPA8	CellCycle_DDR_Stress	Stress_Senescence
CD40LG	Other	Other
KLRK1	Other	Other
CCR2	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
CD1C	Other	Other
IL17A	Cytokines_Chemokines_Checkpoints	Cytokine
IL17F	Cytokines_Chemokines_Checkpoints	Cytokine
CCL7	Cytokines_Chemokines_Checkpoints	Chemokine
CXCL5	Other	Other
IL1A	Cytokines_Chemokines_Checkpoints	Cytokine
CSF2	Other	Other
CSF3	Other	Other
DKK1	Cancer_pathways	WNT
CCL1	Other	Other
CCL11	Other	Other
CCL24	Other	Other
CXCR1	Other	Other
ROS1	Cancer_pathways	RTK
IL6	Cytokines_Chemokines_Checkpoints	Cytokine
IL2	Cytokines_Chemokines_Checkpoints	Cytokine
IL21	Cytokines_Chemokines_Checkpoints	Cytokine
MARCO	Immune_lineage_state	Mono_Macrophage
CLEC9A	Immune_lineage_state	Dendritic_cell
CCL13	Other	Other
CCR9	Other	Other
CCL25	Other	Other
IL4	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF18	Cytokines_Chemokines_Checkpoints	TNF_ligand
SIGLEC10	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
HLA-DQB1	Immune_lineage_state	Immune_other
RORC	Immune_lineage_state	Th17
CD3G	Immune_lineage_state	T_cell_receptor_complex
CD38	Immune_lineage_state	Immune_other
TOX	Immune_lineage_state	Immune_other
HLA-DRB1	Immune_lineage_state	Antigen_presentation_II
CCR4	Immune_lineage_state	Th2
NRP1	Other	Other
IKZF2	Immune_lineage_state	Treg
IL2RA	Immune_lineage_state	Treg
MERTK	Cancer_pathways	RTK
PRDM1	Immune_lineage_state	Plasma_cell
HAVCR2	Immune_lineage_state	Immune_other
CD4	Immune_lineage_state	Immune_other
TBX21	Immune_lineage_state	Th1
BCL6	Immune_lineage_state	Tfh
HLA-DPB1	Immune_lineage_state	Antigen_presentation_II
HLA-DRA	Immune_lineage_state	Antigen_presentation_II
PDCD1	Immune_lineage_state	Immune_other
CCR5	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
PTPRC	Immune_lineage_state	Pan_leukocyte
SIGLEC1	Other	Other
SIRPB1	Other	Other
GATA3	Immune_lineage_state	Th2
LILRB2	Other	Other
ITGAX	Immune_lineage_state	Dendritic_cell
IRF4	Immune_lineage_state	Plasma_cell
FCGR3B	Immune_lineage_state	Neutrophil_MDSC
CD79B	Immune_lineage_state	B_cell
XBP1	Immune_lineage_state	Plasma_cell
ITGAL	Other	Other
LILRB1	Other	Other
SIRPA	Other	Other
CCR8	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
TCF7	Immune_lineage_state	Immune_other
BATF	Immune_lineage_state	Immune_other
HLA-B	Immune_lineage_state	Antigen_presentation_I
PDPN	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
ITGAM	Immune_lineage_state	Mono_Macrophage
ENG	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Vasculature
LAMP3	Immune_lineage_state	Dendritic_cell
HLA-DPA1	Immune_lineage_state	Antigen_presentation_II
MPO	Immune_lineage_state	Neutrophil_MDSC
HLA-C	Immune_lineage_state	Antigen_presentation_I
CCR10	Immune_lineage_state	Immune_other
CD28	Other	Other
ICOS	Immune_lineage_state	Tfh
HLA-DQA1	Immune_lineage_state	Immune_other
HLA-A	Immune_lineage_state	Antigen_presentation_I
SDC1	Immune_lineage_state	Plasma_cell
LILRA4	Other	Other
MCAM	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Vasculature
LEF1	Immune_lineage_state	Immune_other
CTLA4	Immune_lineage_state	Immune_other
MRC1	Immune_lineage_state	Mono_Macrophage
CCR6	Immune_lineage_state	Th17
CCL14	Other	Other
IL33	Cytokines_Chemokines_Checkpoints	Cytokine
PDCD1LG2	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
CXCL4	Other	Other
CCL12	Other	Other
CXCL7	Other	Other
TNFRSF7	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL12	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF3	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFRSF19	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF12	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFSF7	Cytokines_Chemokines_Checkpoints	TNF_ligand
LIF	Other	Other
TNFRSF8	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF6	Cytokines_Chemokines_Checkpoints	TNF_ligand
CCL4	Cytokines_Chemokines_Checkpoints	Chemokine
TNFSF13	Cytokines_Chemokines_Checkpoints	TNF_ligand
CSF1	Other	Other
TNFRSF23	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF15	Cytokines_Chemokines_Checkpoints	TNF_ligand
CCR3	Other	Other
TNFRSF16	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF10	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFRSF20	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL8	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF8	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFRSF5	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFRSF14	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFRSF25	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
CX3CL1	Other	Other
TNFRSF1	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
CD40	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFRSF6	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF16	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFRSF24	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
CCL23	Other	Other
IL24	Cytokines_Chemokines_Checkpoints	Cytokine
CD274	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
IL27	Cytokines_Chemokines_Checkpoints	Cytokine
CCL10	Other	Other
CXCR2	Other	Other
CCL6	Other	Other
CCL15	Other	Other
IL1	Cytokines_Chemokines_Checkpoints	Cytokine
IL11	Cytokines_Chemokines_Checkpoints	Cytokine
CCL26	Other	Other
IL34	Cytokines_Chemokines_Checkpoints	Cytokine
CCL3	Cytokines_Chemokines_Checkpoints	Chemokine
TNFRSF21	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF2	Cytokines_Chemokines_Checkpoints	TNF_ligand
IL3	Cytokines_Chemokines_Checkpoints	Cytokine
TNFRSF22	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL25	Cytokines_Chemokines_Checkpoints	Cytokine
CCL27	Other	Other
IL23A	Cytokines_Chemokines_Checkpoints	Cytokine
CCL16	Other	Other
TNFRSF12	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL23	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF4	Cytokines_Chemokines_Checkpoints	TNF_ligand
IL7	Cytokines_Chemokines_Checkpoints	Cytokine
ADORA2A	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
IL28	Cytokines_Chemokines_Checkpoints	Cytokine
IL30	Cytokines_Chemokines_Checkpoints	Cytokine
VSIR	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
IL10	Cytokines_Chemokines_Checkpoints	Cytokine
IL16	Cytokines_Chemokines_Checkpoints	Cytokine
IL36	Cytokines_Chemokines_Checkpoints	Cytokine
TNF	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF14	Cytokines_Chemokines_Checkpoints	TNF_ligand
CCL18	Cytokines_Chemokines_Checkpoints	Chemokine
TNFRSF10	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFRSF2	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL18	Cytokines_Chemokines_Checkpoints	Cytokine
IL12A	Cytokines_Chemokines_Checkpoints	Cytokine
IL20	Cytokines_Chemokines_Checkpoints	Cytokine
IL12B	Cytokines_Chemokines_Checkpoints	Cytokine
CCL28	Other	Other
TNFRSF3	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF19	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFRSF9	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL15	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF5	Cytokines_Chemokines_Checkpoints	TNF_ligand
CXCL15	Other	Other
IL31	Cytokines_Chemokines_Checkpoints	Cytokine
IL14	Cytokines_Chemokines_Checkpoints	Cytokine
IL29	Cytokines_Chemokines_Checkpoints	Cytokine
TNFRSF13	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
TNFSF11	Cytokines_Chemokines_Checkpoints	TNF_ligand
TNFSF17	Cytokines_Chemokines_Checkpoints	TNF_ligand
CCR1	Other	Other
CCL22	Other	Other
TNFSF9	Cytokines_Chemokines_Checkpoints	TNF_ligand
IL26	Cytokines_Chemokines_Checkpoints	Cytokine
IL17	Cytokines_Chemokines_Checkpoints	Cytokine
TNFRSF11	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL5	Cytokines_Chemokines_Checkpoints	Cytokine
CCL5	Cytokines_Chemokines_Checkpoints	Chemokine
CXCL16	Cytokines_Chemokines_Checkpoints	Chemokine
LAIR1	Cytokines_Chemokines_Checkpoints	Checkpoint_Exhaustion
IL35	Cytokines_Chemokines_Checkpoints	Cytokine
TNFSF1	Cytokines_Chemokines_Checkpoints	TNF_ligand
TGFB1	Cytokines_Chemokines_Checkpoints	Cytokine
CCL9	Other	Other
TNFRSF15	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
IL19	Cytokines_Chemokines_Checkpoints	Cytokine
E2F1	CellCycle_DDR_Stress	Cell_cycle
AKT1S1	Other	Other
NOTCH1	Cancer_pathways	Notch
RET	Cancer_pathways	RTK
RPTOR	Cancer_pathways	PI3K_AKT_mTOR
DVL2	Cancer_pathways	WNT
DVL3	Cancer_pathways	WNT
GAB1	Other	Other
RAF1	Cancer_pathways	RAS_MAPK
WNT2	Cancer_pathways	WNT
MET	Cancer_pathways	RTK
RB1	Other	Other
GLI1	Other	Other
PORCN	Cancer_pathways	WNT
MAPK12	Other	Other
PIK3CD	Cancer_pathways	PI3K_AKT_mTOR
AKT1	Cancer_pathways	PI3K_AKT_mTOR
STAT5A	Cancer_pathways	JAK_STAT
TYK2	Cancer_pathways	JAK_STAT
FZD9	Cancer_pathways	WNT
FZD4	Cancer_pathways	WNT
PDGFRB	Cancer_pathways	RTK
FLT3	Cancer_pathways	RTK
JAG2	Cancer_pathways	Notch
CDKN2A	Other	Other
