Gene,Methods where it appears,Biological relevance (dataset context),Relevance score
MMP2,Curated,ECM Fibroblast,1.89804237501864
LCK,Curated,High-ranking informative gene,1.7654889871259327
IFITM1,Curated,High-ranking informative gene,3.070587037741699
RGS1,Curated,High-ranking informative gene,1.972924231225948
BTG1,Curated,High-ranking informative gene,3.491222850561868
ATP5F1E,Curated,High-ranking informative gene,3.128446247108097
TRAC,Curated,T cell receptor complex marker,2.762734150510988
CTSK,Curated,High-ranking informative gene,1.110868941295628
ZFP36L2,Curated,High-ranking informative gene,3.2321631927341072
PMEL,Curated,High-ranking informative gene,1.0021916496593353
KRT15,Curated,High-ranking informative gene,0.892708735900839
ZFP36,Curated,High-ranking informative gene,3.065641503297781
SLPI,Curated,High-ranking informative gene,0.9032279690752404
GIMAP7,Curated,High-ranking informative gene,1.6824898631240714
MDK,Curated,High-ranking informative gene,1.4736503932094756
MYL9,Curated,High-ranking informative gene,1.280655527593328
DUSP2,Curated,High-ranking informative gene,1.96614708876694
POSTN,Curated,High-ranking informative gene,1.017849176495251
TFF3,Curated,High-ranking informative gene,1.0362440540157782
SERPINE2,Curated,High-ranking informative gene,1.1560218209154296
TIMP1,Curated,ECM Fibroblast,3.0471865663960704
LTB,Curated,High-ranking informative gene,1.715928051205041
RNASE1,Curated,High-ranking informative gene,1.3653688706901914
MFAP4,Curated,High-ranking informative gene,0.9626603949161404
KRT14,Curated,EMT Epithelial,1.6217913718510832
JUNB,Curated,Stress Senescence,3.876004905925418
IFITM3,Curated,High-ranking informative gene,2.890454136700555
ACTA2,Curated,ECM Fibroblast,2.08514063543048
CD27,Curated,Immune other marker,2.5774124081194176
TAGLN,Curated,ECM Fibroblast,2.078498224803793
CREM,Curated,High-ranking informative gene,1.929849902022556
AQP1,Curated,High-ranking informative gene,0.7948060632515539
DCT,Curated,High-ranking informative gene,0.8750086533749022
CRABP1,Curated,High-ranking informative gene,0.8284754912158919
KRT17,Curated,EMT Epithelial,1.6606932482138534
TXNIP,Curated,High-ranking informative gene,2.8180690568183246
WFDC2,Curated,High-ranking informative gene,0.8436124209468676
PLAC9,Curated,High-ranking informative gene,0.8748981165150321
MUCL1,Curated,High-ranking informative gene,1.0974117127031449
TACSTD2,Curated,High-ranking informative gene,0.9771325655430928
SERPING1,Curated,High-ranking informative gene,1.509931307509754
SFN,Curated,High-ranking informative gene,0.8149411247371142
CTSW,Curated,High-ranking informative gene,1.4132798213034188
HSPB1,Curated,Stress Senescence,3.531774922741668
PECAM1,Curated,Hypoxia Angiogenesis,1.806085894775812
DUSP1,Curated,Stress Senescence,3.442731756063376
AGR2,Curated,High-ranking informative gene,0.8290659314413147
CALML5,Curated,High-ranking informative gene,0.8201124655448278
IGKV4-1,Curated,High-ranking informative gene,1.6949097157922952
TFF1,Curated,High-ranking informative gene,0.8561657835205954
COL12A1,Curated,ECM Fibroblast,1.77739140226162
TCL1A,Curated,High-ranking informative gene,0.9415867695370574
FABP7,Curated,High-ranking informative gene,0.8409509514117418
FOS,Curated,RAS MAPK,3.564894292506012
SCGB2A2,Curated,High-ranking informative gene,0.9634751953832856
TRAT1,Curated,High-ranking informative gene,1.2228477261424786
MZB1,Curated,Plasma cell marker,2.017307263946889
CD63,Curated,High-ranking informative gene,2.7486532933038355
PRF1,Curated,NK cytotoxic marker,3.538843233308845
GPR183,Curated,High-ranking informative gene,1.406668067033199
SPI1,Curated,High-ranking informative gene,0.9638130324170469
IGLV3-21,Curated,High-ranking informative gene,1.7132188262993089
SELL,Curated,Immune other marker,2.5195422382379844
NEAT1,Curated,High-ranking informative gene,2.9807197119188307
GNLY,Curated,NK cytotoxic marker,2.3388641196221225
FCN1,Curated,High-ranking informative gene,0.9416378520163003
CP,Curated,High-ranking informative gene,0.7847483415052776
APOA2,Curated,High-ranking informative gene,0.8345911187219581
MXRA5,Curated,High-ranking informative gene,0.8753800672095245
CXCR3,Curated,Th1 marker,2.4196642463802376
APOC3,Curated,High-ranking informative gene,0.7791053085935871
COL14A1,Curated,ECM Fibroblast,1.6406175247708683
S100A2,Curated,High-ranking informative gene,0.7679014826992083
HSPA1A,Curated,Stress Senescence,2.9806223549936823
S100P,Curated,High-ranking informative gene,0.765992701961898
LTF,Curated,High-ranking informative gene,0.8530772897327811
C1orf162,Curated,High-ranking informative gene,1.0633594319244282
CRABP2,Curated,High-ranking informative gene,1.0935068766079907
THBS2,Curated,High-ranking informative gene,0.9080746236967484
GZMH,Curated,High-ranking informative gene,1.1448556863157235
KLRB1,Curated,Immune other marker,2.18687962376949
CD8B,Curated,Immune other marker,2.349876607322169
NCF1,Curated,High-ranking informative gene,1.213059790681725
PIP,Curated,High-ranking informative gene,0.8044587921495125
PHGR1,Curated,High-ranking informative gene,0.7014545664284543
LST1,Curated,Mono Macrophage marker,2.053843627465646
CD34,Curated,Vasculature,1.580126289512234
ESAM,Curated,High-ranking informative gene,0.7428384042986335
C15orf48,Curated,High-ranking informative gene,0.9011139723888634
LAG3,Curated,Immune other marker,3.420349690353974
CAV1,Curated,High-ranking informative gene,1.2623781339806226
C3,Curated,High-ranking informative gene,1.0567219959249323
IRF8,Curated,High-ranking informative gene,1.0617023177709055
FBN1,Curated,High-ranking informative gene,0.8952011762412719
PRSS23,Curated,High-ranking informative gene,1.2249280823872966
BANK1,Curated,High-ranking informative gene,0.9960111539557904
COL4A2,Curated,ECM Fibroblast,1.780767755243359
CHI3L1,Curated,High-ranking informative gene,1.0712187489736276
XCL1,Curated,High-ranking informative gene,0.8796844396325283
CXCL3,Curated,Chemokine,2.014222519846636
FSTL1,Curated,High-ranking informative gene,1.11431335627204
TNFRSF18,Curated,TNFR superfamily,2.4767035342834727
COL15A1,Curated,ECM Fibroblast,1.6670130272743855
CD83,Curated,High-ranking informative gene,1.1529983444522844
CXCL9,Curated,Chemokine,2.04331717387004
CCL19,Curated,Chemokine,1.950749314857908
POU2AF1,Curated,High-ranking informative gene,0.8449533163227421
HSP90AA1,Curated,Stress Senescence,4.3735763979204565
PLEK,Curated,High-ranking informative gene,1.103999368304253
CXCL2,Curated,Chemokine,2.130673921453039
CAVIN1,Curated,High-ranking informative gene,1.1345657009566803
FDCSP,Curated,High-ranking informative gene,0.9334370229999176
IGHGP,Curated,High-ranking informative gene,0.8061264205384673
CD93,Curated,High-ranking informative gene,0.7741313247055854
HSPA6,Curated,Stress Senescence,1.6701237070979928
IGFBP6,Curated,High-ranking informative gene,0.8457847419664437
CD14,Curated,High-ranking informative gene,1.0380812268248742
CYBB,Curated,High-ranking informative gene,0.9307128574287488
CCR7,Curated,Immune other marker,2.349142177022028
CHGB,Curated,High-ranking informative gene,0.7525014770979399
LY9,Curated,High-ranking informative gene,1.0491266887651145
HLA-DMB,Curated,High-ranking informative gene,1.166955740506778
HLA-DQA2,Curated,High-ranking informative gene,1.0565637542871509
CD163,Curated,High-ranking informative gene,0.8415076147645727
NNMT,Curated,High-ranking informative gene,1.1968139629194503
CD19,Curated,High-ranking informative gene,1.0285297342826751
CSF1R,Curated,Mono Macrophage marker,1.9773726340608524
COL11A1,Curated,ECM Fibroblast,1.6207144198390355
TF,Curated,High-ranking informative gene,1.0146531188704997
LCN2,Curated,High-ranking informative gene,0.6963109553704336
CALCRL,Curated,High-ranking informative gene,0.7777010672073519
SOD3,Curated,High-ranking informative gene,0.9333736166104948
KRT16,Curated,High-ranking informative gene,0.7098349180058626
ELN,Curated,High-ranking informative gene,0.7936964540056914
ROBO4,Curated,High-ranking informative gene,0.67626834007421
GJA4,Curated,High-ranking informative gene,0.6712296146605101
CDH5,Curated,High-ranking informative gene,0.6833176406592235
AGR3,Curated,High-ranking informative gene,0.7192974579292593
MS4A7,Curated,High-ranking informative gene,0.9441344893276528
MIR155HG,Curated,High-ranking informative gene,0.981432123442032
MMP7,Curated,ECM Fibroblast,1.5289576298105445
MNDA,Curated,High-ranking informative gene,0.8740739020002664
ZNF683,Curated,High-ranking informative gene,0.8514791200163632
KRT81,Curated,High-ranking informative gene,0.8122630410359064
MSR1,Curated,High-ranking informative gene,0.8517390818178714
TREM2,Curated,High-ranking informative gene,0.7671690235695726
RBP4,Curated,High-ranking informative gene,0.8413759514828785
SELENOP,Curated,High-ranking informative gene,1.209433887800853
COL2A1,Curated,ECM Fibroblast,1.508572779381634
JUN,Curated,RAS MAPK,3.71860725008349
CALHM6,Curated,High-ranking informative gene,0.8309531740135814
ADGRF5,Curated,High-ranking informative gene,0.6980576633664979
BTNL9,Curated,High-ranking informative gene,0.6801672927794523
OGN,Curated,High-ranking informative gene,0.7111670187248736
PPDPFL,Curated,High-ranking informative gene,0.6661744690102767
MS4A4A,Curated,High-ranking informative gene,0.8080906648992987
HMOX1,Curated,Stress Senescence,1.7281837014167962
VSIG4,Curated,High-ranking informative gene,0.8412497837096916
GABRP,Curated,High-ranking informative gene,0.7162953224733928
ACSM2A,Curated,High-ranking informative gene,0.6153018452427037
SLC11A1,Curated,High-ranking informative gene,0.8144086010267999
FGG,Curated,High-ranking informative gene,0.6727183006773964
FCGR1A,Curated,High-ranking informative gene,0.7784663744156668
TNFRSF17,Curated,TNFR superfamily,1.9686781545962897
ADH1B,Curated,High-ranking informative gene,0.6414805316582235
SCGB1D2,Curated,High-ranking informative gene,0.8474060374442626
VTN,Curated,High-ranking informative gene,0.6336414735809125
VPREB3,Curated,High-ranking informative gene,0.8018595291557506
MFAP5,Curated,High-ranking informative gene,0.8001569478607622
SCRG1,Curated,High-ranking informative gene,0.7011829569948465
ACAN,Curated,High-ranking informative gene,0.656100252630164
SCGB1B2P,Curated,High-ranking informative gene,0.7488981896132243
TAT,Curated,High-ranking informative gene,0.6623156221780936
PNOC,Curated,High-ranking informative gene,0.8152840892168394
OLR1,Curated,High-ranking informative gene,0.7820327865017517
KRT6B,Curated,High-ranking informative gene,0.6954544291767745
FCRL5,Curated,High-ranking informative gene,0.9016271786403136
ITGBL1,Curated,High-ranking informative gene,0.7137439085104456
TM4SF4,Curated,High-ranking informative gene,0.6181919764249747
IFI6,Curated,High-ranking informative gene,2.1496553840172905
S100A7,Curated,High-ranking informative gene,0.7805085332576543
ACSM2B,Curated,High-ranking informative gene,0.6086817050483291
SPINK1,Curated,High-ranking informative gene,0.6569697119358207
ORM1,Curated,High-ranking informative gene,0.6639569013108121
PLAC8,Curated,High-ranking informative gene,0.967266921458758
SNORC,Curated,High-ranking informative gene,0.6533224043255241
ID1,Curated,High-ranking informative gene,0.9104819815070558
INHBA,Curated,High-ranking informative gene,0.7754036020191764
GJB6,Curated,High-ranking informative gene,0.6287784487768872
LGALS1,Curated,High-ranking informative gene,3.007479849387258
ACTG2,Curated,High-ranking informative gene,0.7284800421034892
F13A1,Curated,High-ranking informative gene,0.8023432399927204
MEOX1,Curated,High-ranking informative gene,0.7150197702126732
SNCG,Curated,High-ranking informative gene,0.7775150619276052
FRZB,Curated,High-ranking informative gene,0.933117199486399
CASP14,Curated,High-ranking informative gene,0.632260621551332
APOA1,Curated,High-ranking informative gene,0.7231737471104387
IGLV3-1,Curated,High-ranking informative gene,1.8888879440986284
APCS,Curated,High-ranking informative gene,0.6680750345138929
CLDN10,Curated,High-ranking informative gene,0.6215064436293293
PYDC1,Curated,High-ranking informative gene,0.6275092740561022
GC,Curated,High-ranking informative gene,0.6040098213644903
TFF2,Curated,High-ranking informative gene,0.6590988254751734
BEX1,Curated,High-ranking informative gene,0.7559425830754429
FGB,Curated,High-ranking informative gene,0.6408864510379553
FGA,Curated,High-ranking informative gene,0.6356926301719245
DEPP1,Curated,High-ranking informative gene,0.8324022232067501
CCN1,Curated,High-ranking informative gene,0.602115556233957
EGFL7,Curated,High-ranking informative gene,0.8871567961081586
DHRS2,Curated,High-ranking informative gene,0.7654860391291065
EDN1,Curated,High-ranking informative gene,0.6782271510885046
IL1RN,Curated,Cytokine,1.9694936338321751
MSLN,Curated,High-ranking informative gene,0.6343211952193659
GSTA1,Curated,High-ranking informative gene,0.6594941502933696
ORM2,Curated,High-ranking informative gene,0.6389298124564363
HPGD,Curated,High-ranking informative gene,0.8051826029236436
LINC02532,Curated,High-ranking informative gene,0.618744342841236
GPX3,Curated,High-ranking informative gene,1.20645561488281
SDS,Curated,High-ranking informative gene,0.6930795533441287
LBP,Curated,High-ranking informative gene,0.6203905400637515
IGLV6-57,Curated,High-ranking informative gene,1.1393460462603298
S100A6,Curated,High-ranking informative gene,3.81520212784284
ENPP3,Curated,High-ranking informative gene,0.6042090749267267
UBD,Curated,High-ranking informative gene,0.978679807638006
SAA2,Curated,High-ranking informative gene,0.7345246400162122
PDK4,Curated,High-ranking informative gene,0.9534694605242522
CCL20,Curated,Chemokine,2.0153656394261947
CXCL1,Curated,Chemokine,1.9760406716300751
GPX2,Curated,High-ranking informative gene,0.6252165332539893
CAMK2B,Curated,High-ranking informative gene,0.6214466973195916
ESM1,Curated,High-ranking informative gene,0.6872593694696126
FCN3,Curated,High-ranking informative gene,0.6001082118166511
FGFBP2,Curated,High-ranking informative gene,0.7503892716240852
ARHGDIB,Curated,High-ranking informative gene,3.0520824938540474
CD37,Curated,High-ranking informative gene,2.285886079828417
FXYD3,Curated,High-ranking informative gene,1.031608252225685
RAC2,Curated,High-ranking informative gene,2.2790517312713297
HCST,Curated,High-ranking informative gene,2.0668140763461995
IL2RG,Curated,Cytokine,3.300529515288803
HLA-E,Curated,High-ranking informative gene,3.612756797311453
S100A13,Curated,High-ranking informative gene,1.5361194910398923
SPINT2,Curated,High-ranking informative gene,1.420661268075777
CYTIP,Curated,High-ranking informative gene,1.96007722870218
LCP1,Curated,High-ranking informative gene,2.198084267770684
LIMD2,Curated,High-ranking informative gene,2.1779715148622127
TNFAIP3,Curated,Cytokine,3.272092826768836
CYBA,Curated,High-ranking informative gene,2.9417455814261446
PCOLCE,Curated,High-ranking informative gene,1.0802324762661772
FYB1,Curated,High-ranking informative gene,1.4858970959138396
FXYD5,Curated,High-ranking informative gene,3.059725223256286
MGST1,Curated,High-ranking informative gene,1.068266685664995
CLDN4,Curated,High-ranking informative gene,0.8653028142916133
CXCL13,Curated,Immune other marker,3.317040147747188
ALOX5AP,Curated,High-ranking informative gene,1.686739119308148
DSTN,Curated,High-ranking informative gene,2.296732699179863
SH3BGRL3,Curated,High-ranking informative gene,3.773050847755991
VIM,Curated,EMT Epithelial,4.7705115738299
MXRA8,Curated,High-ranking informative gene,0.8810622556202762
ELOB,Curated,High-ranking informative gene,2.4722367665245044
PPDPF,Curated,High-ranking informative gene,3.660552138505868
DSP,Curated,High-ranking informative gene,0.902202609720853
MIF,Curated,High-ranking informative gene,3.6722897766751537
NUPR1,Curated,High-ranking informative gene,1.4921363252574338
SMIM22,Curated,High-ranking informative gene,0.8060293513867857
ITGB2,Curated,High-ranking informative gene,1.7834776056460064
ELF3,Curated,High-ranking informative gene,0.8333229223126865
IFITM2,Curated,High-ranking informative gene,3.046211698365452
ATP5MG,Curated,High-ranking informative gene,2.623500861796132
SELENOW,Curated,High-ranking informative gene,2.124845409089512
TPM1,Curated,High-ranking informative gene,1.593117044899627
ATP5MC3,Curated,High-ranking informative gene,2.2194676587221904
BIRC3,Curated,High-ranking informative gene,1.6643635189186394
ATP5MC2,Curated,High-ranking informative gene,2.807464015224777
FBLN1,Curated,High-ranking informative gene,0.9340795999469932
CD9,Curated,High-ranking informative gene,1.4898322750249997
FOXP3,Curated,Treg marker,1.8005772298615157
TRBV5-1,Curated,High-ranking informative gene,0.6960272867843564
EREG,Curated,High-ranking informative gene,0.5969690117478919
TRBV7-2,Curated,High-ranking informative gene,0.8941845070729709
HBB,Curated,High-ranking informative gene,1.0189612101559942
EVL,Curated,High-ranking informative gene,2.1898707192300817
TRBV7-9,Curated,High-ranking informative gene,0.8312918493973569
COX6C,Curated,High-ranking informative gene,3.299310514241313
COTL1,Curated,High-ranking informative gene,2.3472436759807227
SARAF,Curated,High-ranking informative gene,3.380615385100448
TPSAB1,Curated,High-ranking informative gene,0.5827049836713996
CLDN3,Curated,High-ranking informative gene,0.8082443476245921
HSP90AB1,Curated,Stress Senescence,4.332709485307991
GPX1,Curated,High-ranking informative gene,1.260752292463535
IGHV3-23,Curated,High-ranking informative gene,1.1811167728098992
KLRC1,Curated,High-ranking informative gene,0.7578216539992956
MT2A,Curated,High-ranking informative gene,3.10346819843547
TRBV6-5,Curated,High-ranking informative gene,0.9107700533744524
SAT1,Curated,High-ranking informative gene,3.0392330062537147
S100A11,Curated,High-ranking informative gene,3.5157731448625458
XCL2,Curated,High-ranking informative gene,0.8217156481447919
TRBV3-1,Curated,High-ranking informative gene,0.9099707854511352
TRDC,Curated,High-ranking informative gene,0.7375935052988779
TRBV9,Curated,High-ranking informative gene,0.7920611059348882
TRBV4-1,Curated,High-ranking informative gene,0.9928036490667644
TRBV4-2,Curated,High-ranking informative gene,0.8089469349764195
LINC02446,Curated,High-ranking informative gene,0.7155305607967288
TRBV2,Curated,High-ranking informative gene,0.7259370894574066
SPDEF,Curated,High-ranking informative gene,0.7301109111975863
NPC2,Curated,High-ranking informative gene,2.1638969411495843
TRBV7-6,Curated,High-ranking informative gene,0.7051550342369305
PCED1B-AS1,Curated,High-ranking informative gene,0.6933632865206728
CSTB,Curated,High-ranking informative gene,2.8778104068807697
ALDOA,Curated,High-ranking informative gene,3.337285082985493
HLA-DMA,Curated,High-ranking informative gene,1.5741635683175423
IGLV3-25,Curated,High-ranking informative gene,1.6707584758562892
TRAV12-2,Curated,High-ranking informative gene,0.780938879470354
GNG11,Curated,High-ranking informative gene,0.9152125814857216
PRDX1,Curated,High-ranking informative gene,2.934912879375491
TRBV6-1,Curated,High-ranking informative gene,0.7977500333217193
IGLV1-51,Curated,High-ranking informative gene,1.7848733884111192
TRAV38-2DV8,Curated,High-ranking informative gene,0.8319133013878509
TRAV13-1,Curated,High-ranking informative gene,0.821606162864591
GPX4,Curated,High-ranking informative gene,3.043599171719909
NFKBIA,Curated,High-ranking informative gene,2.512992294713168
TRBV5-6,Curated,High-ranking informative gene,0.7657447884553491
MT1H,Curated,High-ranking informative gene,0.6194656875009328
PDZK1IP1,Curated,High-ranking informative gene,0.7216337898526723
CCL8,Curated,Chemokine,1.8267076523216192
FBLN2,Curated,High-ranking informative gene,0.8324568321799743
IGLV2-14,Curated,High-ranking informative gene,1.8575419866696845
TRAV21,Curated,High-ranking informative gene,0.8927229832209693
TRAV29DV5,Curated,High-ranking informative gene,0.7404689132693882
SELENOM,Curated,High-ranking informative gene,1.6067137058486924
TRAV3,Curated,High-ranking informative gene,0.6999087855399654
TNFRSF13B,Curated,TNFR superfamily,1.945327397389032
TRAV9-2,Curated,High-ranking informative gene,0.7822148635330919
ANXA2,Curated,High-ranking informative gene,2.767792731763093
ANXA1,Curated,High-ranking informative gene,2.275631478065778
PI16,Curated,High-ranking informative gene,0.5737183903012879
TRAV14DV4,Curated,High-ranking informative gene,0.7057112151200791
GSTP1,Curated,High-ranking informative gene,2.7743069807009784
GAS5,Curated,High-ranking informative gene,1.0202194407941254
TRAV17,Curated,High-ranking informative gene,0.7092682326971913
ANKRD30A,Curated,High-ranking informative gene,0.7179926482691369
TRAV12-3,Curated,High-ranking informative gene,0.767410592555789
S100A12,Curated,High-ranking informative gene,0.6953183826793331
CXCL10,Curated,Chemokine,2.172067097222381
TRAV19,Curated,High-ranking informative gene,0.7455076634607873
TPI1,Curated,High-ranking informative gene,3.2630426572343563
ENO1,Curated,High-ranking informative gene,3.057364776078252
IGLV1-40,Curated,High-ranking informative gene,1.7987789606202984
SLC17A3,Curated,High-ranking informative gene,0.5394278289660597
PKM,Curated,High-ranking informative gene,2.9562899789979182
IGLV2-23,Curated,High-ranking informative gene,1.6761380873178058
EMCN,Curated,Hypoxia Angiogenesis,1.4722160010312302
TRAV8-4,Curated,High-ranking informative gene,0.7341838761266879
FCER2,Curated,High-ranking informative gene,0.8369542220565536
PLD4,Curated,Immune other marker,1.7776054367472742
CRP,Curated,High-ranking informative gene,0.58026094358848
LGALS3,Curated,High-ranking informative gene,2.392441141478483
DERL3,Curated,High-ranking informative gene,0.7136205775498804
FCRL3,Curated,High-ranking informative gene,0.8276483442226229
HSPE1,Curated,Stress Senescence,3.3965999582383093
TRAV1-2,Curated,High-ranking informative gene,0.752343629001423
IGLV2-8,Curated,High-ranking informative gene,1.4312102459015117
PSAP,Curated,High-ranking informative gene,2.756165018708555
